prefix,Code,Description
Education1989Revision,0,No formal education
Education1989Revision,1,Years of elementary school
Education1989Revision,2,Years of elementary school
Education1989Revision,3,Years of elementary school
Education1989Revision,4,Years of elementary school
Education1989Revision,5,Years of elementary school
Education1989Revision,6,Years of elementary school
Education1989Revision,7,Years of elementary school
Education1989Revision,8,Years of elementary school
Education1989Revision,9,1 year of high school
Education1989Revision,10,2 years of high school
Education1989Revision,11,3 years of high school
Education1989Revision,12,4 years of high school
Education1989Revision,13,1 year of college
Education1989Revision,14,2 years of college
Education1989Revision,15,3 years of college
Education1989Revision,16,4 years of college
Education1989Revision,17,5 or more years of college
Education1989Revision,99,Not stated
