prefix,Code,Description
Icd10Code,A00,Cholera
Icd10Code,A000,Cholera due to Vibrio cholerae 01 biovar cholerae
Icd10Code,A001,Cholera due to Vibrio cholerae 01, biovar eltor
Icd10Code,A009,Cholera unspecified
Icd10Code,A01,Typhoid and paratyphoid fevers
Icd10Code,A010,Typhoid fever
Icd10Code,A011,Paratyphoid fever A
Icd10Code,A012,Paratyphoid fever B
Icd10Code,A013,Paratyphoid fever C
Icd10Code,A014,Paratyphoid fever unspecified
Icd10Code,A02,Other salmonella infections
Icd10Code,A020,Salmonella enteritis
Icd10Code,A021,Salmonella sepsis
Icd10Code,A022,Localized salmonella infections
Icd10Code,A028,Other specified salmonella infections
Icd10Code,A029,Salmonella infection unspecified
Icd10Code,A03,Shigellosis
Icd10Code,A030,Shigellosis due to Shigella dysenteriae
Icd10Code,A031,Shigellosis due to Shigella flexneri
Icd10Code,A032,Shigellosis due to Shigella boydii
Icd10Code,A033,Shigellosis due to Shigella sonnei
Icd10Code,A038,Other shigellosis
Icd10Code,A039,Shigellosis unspecified
Icd10Code,A04,Other bacterial intestinal infections
Icd10Code,A040,Enteropathogenic Escherichia coli infection
Icd10Code,A041,Enterotoxigenic Escherichia coli infection
Icd10Code,A042,Enteroinvasive Escherichia coli infection
Icd10Code,A043,Enterohaemorrhagic Escherichia coli infection
Icd10Code,A044,Other intestinal Escherichia coli infections
Icd10Code,A045,Campylobacter enteritis
Icd10Code,A046,Enteritis due to Yersinia enterocolitica
Icd10Code,A047,Enterocolitis due to Clostridium difficile
Icd10Code,A048,Other specified bacterial intestinal infections
Icd10Code,A049,Bacterial intestinal infection unspecified
Icd10Code,A05,Other bacterial foodborne intoxications not elsewhere classified
Icd10Code,A050,Foodborne staphylococcal intoxication
Icd10Code,A051,Botulism
Icd10Code,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
Icd10Code,A053,Foodborne Vibrio parahaemolyticus intoxication
Icd10Code,A054,Foodborne Bacillus cereus intoxication
Icd10Code,A058,Other specified bacterial foodborne intoxications
Icd10Code,A059,Bacterial foodborne intoxication unspecified
Icd10Code,A06,Amoebiasis
Icd10Code,A060,Acute amoebic dysentery
Icd10Code,A061,Chronic intestinal amoebiasis
Icd10Code,A062,Amoebic nondysenteric colitis
Icd10Code,A063,Amoeboma of intestine
Icd10Code,A064,Amoebic liver abscess
Icd10Code,A065,Amoebic lung abscess
Icd10Code,A066,Amoebic brain abscess
Icd10Code,A067,Cutaneous amoebiasis
Icd10Code,A068,Amoebic infection of other sites
Icd10Code,A069,Amoebiasis unspecified
Icd10Code,A07,Other protozoal intestinal diseases
Icd10Code,A070,Balantidiasis
Icd10Code,A071,Giardiasis [lambliasis]
Icd10Code,A072,Cryptosporidiosis
Icd10Code,A073,Isosporiasis
Icd10Code,A078,Other specified protozoal intestinal diseases
Icd10Code,A079,Protozoal intestinal disease unspecified
Icd10Code,A08,Viral and other specified intestinal infections
Icd10Code,A080,Rotaviral enteritis
Icd10Code,A081,Acute gastroenteropathy due to Norwalk agent
Icd10Code,A082,Adenoviral enteritis
Icd10Code,A083,Other viral enteritis
Icd10Code,A084,Viral intestinal infection unspecified
Icd10Code,A085,Other specified intestinal infections
Icd10Code,A09,Other gastroenteritis and colitis of infectious and unspecified origin
Icd10Code,A090,Other and unspecified gastroenteritis and colitis of infectious origin
Icd10Code,A099,Gastroenteritis and colitis of unspecified origin
Icd10Code,A15,Respiratory tuberculosis bacteriologically and histologically confirmed
Icd10Code,A150,Tuberculosis of lung confirmed by sputum microscopy with or without culture
Icd10Code,A151,Tuberculosis of lung confirmed by culture only
Icd10Code,A152,Tuberculosis of lung confirmed histologically
Icd10Code,A153,Tuberculosis of lung confirmed by unspecified means
Icd10Code,A154,Tuberculosis of intrathoracic lymph nodes confirmed bacteriologically and histologically
Icd10Code,A155,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically
Icd10Code,A156,Tuberculous pleurisy confirmed bacteriologically and histologically
Icd10Code,A157,Primary respiratory tuberculosis confirmed bacteriologically and histologically
Icd10Code,A158,Other respiratory tuberculosis confirmed bacteriologically and histologically
Icd10Code,A159,Respiratory tuberculosis unspecified confirmed bacteriologically and histologically
Icd10Code,A16,Respiratory tuberculosis not confirmed bacteriologically or histologically
Icd10Code,A160,Tuberculosis of lung bacteriologically and histologically negative
Icd10Code,A161,Tuberculosis of lung bacteriological and histological examination not done
Icd10Code,A162,Tuberculosis of lung without mention of bacteriological or histological confirmation
Icd10Code,A163,Tuberculosis of intrathoracic lymph nodes without mention of bacteriological or histological confirmation
Icd10Code,A164,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation
Icd10Code,A165,Tuberculous pleurisy without mention of bacteriological or histological confirmation
Icd10Code,A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
Icd10Code,A168,Other respiratory tuberculosis without mention of bacteriological or histological confirmation
Icd10Code,A169,Respiratory tuberculosis unspecified without mention of bacteriological or histological confirmation
Icd10Code,A17,Tuberculosis of nervous system
Icd10Code,A170,Tuberculous meningitis
Icd10Code,A171,Meningeal tuberculoma
Icd10Code,A178,Other tuberculosis of nervous system
Icd10Code,A179,Tuberculosis of nervous system unspecified
Icd10Code,A18,Tuberculosis of other organs
Icd10Code,A180,Tuberculosis of bones and joints
Icd10Code,A181,Tuberculosis of genitourinary system
Icd10Code,A182,Tuberculous peripheral lymphadenopathy
